sleep_s,test_case,producers,consumers,elapsed_s,produced,consumed,throughput
0.00017,2,4,1,.005652000,334,69,306782
0.00017,3,16,1,.006105000,553,20,41601.7
0.00017,4,1,2,.030616000,155,281,812191
0.00017,5,4,2,.006323000,306,170,575783
0.00017,6,16,2,.005613000,558,44,101852
0.00017,7,1,4,.005717000,67,29,143133
0.00017,8,4,4,.006271000,171,116,397951
0.00017,9,16,4,.005313000,619,88,170350
0.00017,10,1,16,.005961000,64,203,326833
0.00017,11,4,16,.005674000,261,493,986437
0.00017,12,16,16,.005618000,578,333,497509
0.00018,1,1,1,.005146000,507,455,1.54257e+06
0.00018,2,4,1,.005776000,350,74,278430
0.00018,3,16,1,.005185000,633,19,43898.6
0.00018,4,1,2,.005111000,341,528,2.0545e+06
0.00018,5,4,2,.005378000,263,141,496010
0.00018,6,16,2,.005898000,641,66,146898
0.00018,7,1,4,.005828000,75,68,255902
0.00018,8,4,4,.005162000,271,221,702102
0.00018,9,16,4,.005968000,546,65,136710
0.00018,10,1,16,.005900000,122,461,1.02362e+06
0.00018,11,4,16,.006661000,231,601,1.10391e+06
0.00018,12,16,16,.005989000,673,394,596873
0.00019,1,1,1,.005670000,423,382,1.45455e+06
0.00019,2,4,1,.006422000,441,103,355479
0.00019,3,16,1,.005950000,742,48,114706
0.00019,4,1,2,.005176000,423,711,2.28087e+06
0.00019,5,4,2,.005316000,319,154,537599
0.00019,6,16,2,.005501000,546,58,134716
0.00019,7,1,4,.005536000,142,268,971056
0.00019,8,4,4,.005493000,295,271,784717
0.00019,9,16,4,.006150000,841,78,130754
0.00019,10,1,16,.009003000,44,0,0
0.00019,11,4,16,.005496000,272,489,996084
0.00019,12,16,16,.005979000,552,384,536969
0.00021,1,1,1,.007135000,399,353,1.22178e+06
0.00021,2,4,1,.006787000,345,65,211239
0.00021,3,16,1,.006188000,675,13,34491.5
0.00021,4,1,2,.006035000,298,419,1.42175e+06
0.00021,5,4,2,.006274000,445,112,311544
0.00021,6,16,2,.006377000,665,38,72335.1
0.00021,7,1,4,.005707000,148,109,347485
0.00021,8,4,4,.006324000,333,303,874689
0.00021,9,16,4,.007352000,696,151,298981
0.00021,10,1,16,.006917000,413,330,696686
0.00021,11,4,16,.006395000,182,494,955101
0.00021,12,16,16,.007791000,843,996,694834
0.00022,1,1,1,.007324000,492,425,1.42171e+06
0.00022,2,4,1,.005632000,414,71,227769
0.00022,3,16,1,.005173000,702,27,58637.1
0.00022,4,1,2,.005731000,327,593,1.92167e+06
0.00022,5,4,2,.005324000,371,131,409535
0.00022,6,16,2,.005912000,727,46,88426
0.00022,7,1,4,.005457000,73,46,187443
0.00022,8,4,4,.005164000,253,120,337909
0.00022,9,16,4,.005686000,802,134,231647
0.00022,10,1,16,.007613000,67,135,75327.7
0.00022,11,4,16,.005928000,160,491,939131
0.00022,12,16,16,.005516000,712,395,522856
0.00023,1,1,1,.005498000,490,442,1.35718e+06
0.00023,2,4,1,.005083000,364,93,282496
0.00023,3,16,1,.005637000,585,9,17935.7
0.00023,4,1,2,.004971000,376,609,1.82712e+06
0.00023,5,4,2,.005485000,372,145,426757
0.00023,6,16,2,.005168000,619,51,128976
0.00023,7,1,4,.005081000,154,314,972066
0.00023,8,4,4,.005063000,286,198,559191
0.00023,9,16,4,.005344000,606,90,165504
0.00023,10,1,16,.005951000,104,675,1.33795e+06
0.00023,11,4,16,.005675000,267,602,1.10134e+06
0.00023,12,16,16,.005535000,731,386,544749
0.00024,1,1,1,.006635000,531,473,1.4639e+06
0.00024,2,4,1,.005775000,527,64,175045
0.00024,3,16,1,.005526000,799,18,35259.5
0.00024,4,1,2,.005978000,561,998,2.97413e+06
0.00024,5,4,2,.006356000,329,119,317016
0.00024,6,16,2,.005821000,754,50,92750.1
0.00024,7,1,4,.005378000,94,330,898412
0.00024,8,4,4,.006000000,302,193,523212
0.00024,9,16,4,.005457000,587,73,151248
0.00024,10,1,16,.006078000,78,420,791807
0.00024,11,4,16,.006478000,286,650,1.15811e+06
0.00024,12,16,16,.006847000,704,366,490789
0.00025,1,1,1,.006230000,421,336,1.3356e+06
0.00025,2,4,1,.005919000,444,100,274225
0.00025,3,16,1,.006154000,629,36,69230.8
0.00025,4,1,2,.005836000,306,472,1.37804e+06
0.00025,5,4,2,.005948000,345,109,299245
0.00025,6,16,2,.006546000,646,37,79331.9
0.00025,7,1,4,.006023000,104,215,589569
0.00025,8,4,4,.006433000,369,236,681435
0.00025,9,16,4,.006584000,733,170,308810
0.00025,10,1,16,.005407000,84,578,1.12031e+06
0.00025,11,4,16,.005325000,207,724,1.22686e+06
0.00025,12,16,16,.006235000,692,396,572782
0.00026,1,1,1,.006166000,647,597,1.72829e+06
0.00026,2,4,1,.005697000,432,84,220376
0.00026,3,16,1,.006662000,717,38,67212
0.00026,4,1,2,.005999000,252,248,701117
0.00026,5,4,2,.005923000,370,219,590338
0.00026,6,16,2,.005762000,703,63,112870
0.00026,7,1,4,.009839000,125,250,652780
0.00026,8,4,4,.005138000,358,277,699863
0.00026,9,16,4,.006327000,670,57,105885
0.00026,10,1,16,.009514000,83,174,44998.7
0.00026,11,4,16,.006045000,155,392,726936
0.00026,12,16,16,.006749000,582,391,505032
0.00027,1,1,1,.005570000,460,395,1.08928e+06
0.00027,2,4,1,.006011000,442,131,339818
0.00027,3,16,1,.006679000,860,64,116076
0.00027,4,1,2,.006391000,237,275,743209
0.00027,5,4,2,.006298000,388,239,606326
0.00027,6,16,2,.007157000,814,91,118928
0.00027,7,1,4,.007535000,109,79,179375
0.00027,8,4,4,.007187000,372,311,636535
0.00027,9,16,4,.007438000,925,125,159562
0.00027,10,1,16,.006348000,126,637,1.20481e+06
0.00027,11,4,16,.006338000,258,645,1.01553e+06
0.00027,12,16,16,.006630000,612,338,459265
0.00028,1,1,1,.006295000,552,511,1.35082e+06
0.00028,2,4,1,.006440000,477,114,264834
0.00028,3,16,1,.006370000,703,76,122837
0.00028,4,1,2,.005411000,507,966,2.38642e+06
0.00028,5,4,2,.005487000,459,181,411597
0.00028,6,16,2,.005138000,715,41,81288.7
0.00028,7,1,4,.005407000,144,362,905846
0.00028,8,4,4,.005511000,332,286,625023
0.00028,9,16,4,.005815000,1150,92,108024
0.00028,10,1,16,.006426000,92,663,969637
0.00028,11,4,16,.006005000,246,662,1.05608e+06
0.00028,12,16,16,.006260000,624,404,471130
0.00029,1,1,1,.005252000,388,328,846818
0.00029,2,4,1,.005617000,513,99,242227
0.00029,3,16,1,.006250000,903,34,53319.4
0.00029,4,1,2,.005757000,329,471,1.19199e+06
0.00029,5,4,2,.006242000,476,193,459625
0.00029,6,16,2,.006578000,1158,65,97607.6
0.00029,7,1,4,.006461000,115,470,1.10849e+06
0.00029,8,4,4,.005134000,340,293,679376
0.00029,9,16,4,.005643000,765,102,161379
0.00029,10,1,16,.010230000,73,104,25286.6
0.00029,11,4,16,.006133000,353,569,922148
0.00029,12,16,16,.006058000,1065,452,530234
0.00031,1,1,1,.005847000,641,583,1.43269e+06
0.00031,2,4,1,.006110000,519,112,256954
0.00031,3,16,1,.006663000,831,46,69099.4
0.00031,4,1,2,.005682000,255,461,1.10592e+06
0.00031,5,4,2,.006314000,519,194,430394
0.00031,6,16,2,.006371000,758,38,54034.8
0.00031,7,1,4,.006399000,204,486,1.09511e+06
0.00031,8,4,4,.006060000,306,306,654721
0.00031,9,16,4,.006600000,848,158,215271
0.00031,10,1,16,.005756000,87,557,1.04067e+06
0.00031,11,4,16,.007367000,234,623,969697
0.00031,12,16,16,.006938000,1225,702,538096
0.00032,1,1,1,.006774000,541,500,1.19847e+06
0.00032,2,4,1,.006746000,505,125,273398
0.00032,3,16,1,.006391000,699,54,86111.2
0.00032,4,1,2,.006133000,222,502,1.1378e+06
0.00032,5,4,2,.005559000,495,204,416068
0.00032,6,16,2,.006323000,874,45,73399.4
0.00032,7,1,4,.005619000,169,463,1.05536e+06
0.00032,8,4,4,.005713000,329,330,700654
0.00032,9,16,4,.006125000,610,72,114688
0.00032,10,1,16,.006028000,125,616,1.01729e+06
0.00032,11,4,16,.007185000,260,800,1.06588e+06
0.00032,12,16,16,.006438000,640,394,490228
0.00033,1,1,1,.005418000,816,766,1.76437e+06
0.00033,2,4,1,.005180000,511,120,263664
0.00033,3,16,1,.006136000,790,23,38596
0.00033,4,1,2,.005316000,227,404,900919
0.00033,5,4,2,.005868000,461,275,584640
0.00033,6,16,2,.005838000,712,45,78351.4
0.00033,7,1,4,.005987000,149,464,972444
0.00033,8,4,4,.005752000,398,390,785797
0.00033,9,16,4,.005916000,740,183,276414
0.00033,10,1,16,.005709000,107,632,906036
0.00033,11,4,16,.006016000,266,658,961340
0.00033,12,16,16,.007126000,797,421,443761
0.00034,1,1,1,.005491000,461,524,1.07743e+06
0.00034,2,4,1,.005622000,590,169,362640
0.00034,3,16,1,.006281000,1008,44,67120
0.00034,4,1,2,.005476000,256,461,970355
0.00034,5,4,2,.005446000,556,203,412959
0.00034,6,16,2,.006043000,746,69,103473
0.00034,7,1,4,.005446000,157,404,819532
0.00034,8,4,4,.005615000,421,287,634079
0.00034,9,16,4,.007915000,751,209,267892
0.00034,10,1,16,.008242000,92,735,340472
0.00034,11,4,16,.006885000,250,842,1.09992e+06
0.00034,12,16,16,.006726000,788,639,609786
0.00035,1,1,1,.005545000,402,272,588852
0.00035,2,4,1,.005470000,704,100,212079
0.00035,3,16,1,.008134000,842,52,67248.6
0.00035,4,1,2,.006476000,573,1026,2.09281e+06
0.00035,5,4,2,.007162000,447,152,304398
0.00035,6,16,2,.006589000,830,83,124937
0.00035,7,1,4,.006877000,112,101,217324
0.00035,8,4,4,.006437000,317,359,715206
0.00035,9,16,4,.007279000,649,211,276312
0.00035,10,1,16,.008650000,75,199,81979.9
0.00035,11,4,16,.008249000,250,616,875995
0.00035,12,16,16,.008697000,775,457,538601
0.00036,1,1,1,.006221000,925,780,1.63972e+06
0.00036,2,4,1,.005587000,596,148,294992
0.00036,3,16,1,.006780000,870,52,76447.2
0.00036,4,1,2,.005247000,789,1433,2.91149e+06
0.00036,5,4,2,.005881000,544,299,562852
0.00036,6,16,2,.006652000,965,105,149024
0.00036,7,1,4,.005974000,216,544,1.0804e+06
0.00036,8,4,4,.005586000,391,341,654251
0.00036,9,16,4,.006380000,816,128,172478
0.00036,10,1,16,.006155000,103,621,945597
0.00036,11,4,16,.006536000,338,906,1.03636e+06
0.00036,12,16,16,.006881000,855,496,542422
0.00037,1,1,1,.006269000,894,795,1.56361e+06
0.00037,2,4,1,.006184000,719,111,217239
0.00037,3,16,1,.006460000,892,13,19582
0.00037,4,1,2,.005974000,270,856,1.73379e+06
0.00037,5,4,2,.006142000,582,158,345072
0.00037,6,16,2,.006949000,846,120,164084
0.00037,7,1,4,.006308000,148,532,1.03012e+06
0.00037,8,4,4,.006246000,427,393,644013
0.00037,9,16,4,.006205000,782,72,109513
0.00037,10,1,16,.006461000,96,549,826363
0.00037,11,4,16,.006509000,348,693,903955
0.00037,12,16,16,.005953000,741,407,466298
0.00038,1,1,1,.005774000,933,876,1.76082e+06
0.00038,2,4,1,.005910000,571,203,383652
0.00038,3,16,1,.005945000,992,32,46686.9
0.00038,4,1,2,.006401000,314,536,1.04636e+06
0.00038,5,4,2,.005651000,646,272,490300
0.00038,6,16,2,.005708000,1025,95,137030
0.00038,7,1,4,.005728000,199,467,903629
0.00038,8,4,4,.005816000,485,338,613535
0.00038,9,16,4,.005485000,909,208,283364
0.00038,10,1,16,.005568000,101,881,1.33558e+06
0.00038,11,4,16,.006448000,274,866,1.1358e+06
0.00038,12,16,16,.007101000,820,551,582786
0.00039,1,1,1,.009895000,713,558,1.09197e+06
0.00039,2,4,1,.007217000,577,233,411881
0.00039,3,16,1,.006818000,1250,20,27670.5
0.00039,4,1,2,.006911000,274,528,886587
0.00039,5,4,2,.006653000,561,256,473467
0.00039,6,16,2,.006973000,1085,46,61278.8
0.00039,7,1,4,.007213000,205,393,722537
0.00039,8,4,4,.006422000,548,403,649826
0.00039,9,16,4,.006839000,840,155,215765
0.00039,10,1,16,.006285000,59,0,0
0.00039,11,4,16,.006034000,253,705,984772
0.00039,12,16,16,.007192000,1237,870,578276
0.00040,1,1,1,.006101000,797,769,1.45574e+06
0.00040,2,4,1,.005542000,729,168,304119
0.00040,3,16,1,.005638000,931,69,98395.7
0.00040,4,1,2,.006281000,303,508,980425
0.00040,5,4,2,.005780000,608,330,558494
0.00040,6,16,2,.006497000,896,87,121870
0.00040,7,1,4,.005585000,252,631,1.1475e+06
0.00040,8,4,4,.006630000,480,341,595629
0.00040,9,16,4,.006390000,860,130,179300
0.00040,10,1,16,.006246000,73,657,961581
0.00040,11,4,16,.006695000,297,706,952552
0.00040,12,16,16,.006716000,833,563,600907
0.00041,1,1,1,.006038000,1010,946,1.75984e+06
0.00041,2,4,1,.006690000,793,131,240456
0.00041,3,16,1,.006585000,961,30,42618.7
0.00041,4,1,2,.006837000,392,561,1.02922e+06
0.00041,5,4,2,.006304000,519,315,546075
0.00041,6,16,2,.006325000,979,85,107848
0.00041,7,1,4,.006208000,252,570,1.02211e+06
0.00041,8,4,4,.006089000,494,376,613139
0.00041,9,16,4,.005741000,918,188,238654
0.00041,10,1,16,.005425000,117,592,740604
0.00041,11,4,16,.006374000,415,942,1.19482e+06
0.00041,12,16,16,.006366000,811,521,575001
0.00042,1,1,1,.005521000,1019,967,1.76082e+06
0.00042,2,4,1,.005422000,632,174,307095
0.00042,3,16,1,.006189000,1077,29,36411.2
0.00042,4,1,2,.005728000,302,487,878420
0.00042,5,4,2,.006505000,573,292,496810
0.00042,6,16,2,.006709000,1182,151,197720
0.00042,7,1,4,.006080000,212,647,1.0926e+06
0.00042,8,4,4,.006691000,339,164,275804
0.00042,9,16,4,.015912000,1098,173,156249
0.00042,10,1,16,.006847000,171,627,877844
0.00042,11,4,16,.007232000,211,771,970714
0.00042,12,16,16,.007130000,827,479,453742
0.00043,1,1,1,.006037000,1036,934,1.65694e+06
0.00043,2,4,1,.005862000,761,100,169002
0.00043,3,16,1,.006213000,1234,41,50747.8
0.00043,4,1,2,.005715000,790,1453,2.5661e+06
0.00043,5,4,2,.005964000,623,255,407671
0.00043,6,16,2,.005670000,1008,135,179006
0.00043,7,1,4,.007275000,164,490,850286
0.00043,8,4,4,.006011000,589,367,599472
0.00043,9,16,4,.006227000,878,147,190158
0.00043,10,1,16,.006327000,96,864,1.18235e+06
0.00043,11,4,16,.006174000,330,855,998022
0.00043,12,16,16,.005970000,992,549,551908
0.00044,1,1,1,.005967000,1128,1083,1.80784e+06
0.00044,2,4,1,.006525000,743,115,224705
0.00044,3,16,1,.006260000,873,71,91418.9
0.00044,4,1,2,.008185000,883,1659,2.75526e+06
0.00044,5,4,2,.006475000,612,290,470620
0.00044,6,16,2,.006565000,1057,102,133523
0.00044,7,1,4,.006103000,228,644,1.033e+06
0.00044,8,4,4,.006593000,526,479,746577
